epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,6055.47,1.25152,0.86544,1.29677,0.86568,0.9166,0.92669,0.58246,1.26381,1.00663,1.37505,0.00040462,0.00040462,0.00040462
115,6086.79,1.26154,0.8827,1.28758,0.88646,0.91431,0.92967,0.57206,1.26814,1.0032,1.38217,0.000397019,0.000397019,0.000397019
116,6118.15,1.26175,0.91105,1.30581,0.89414,0.90702,0.93393,0.58032,1.27017,0.9793,1.38181,0.000389445,0.000389445,0.000389445
117,6149.77,1.24599,0.86349,1.24566,0.91649,0.84358,0.92876,0.57978,1.2678,0.98243,1.37898,0.000381899,0.000381899,0.000381899
118,6181.39,1.22473,0.88529,1.24174,0.92011,0.83364,0.93066,0.58198,1.25721,0.99161,1.37236,0.000374383,0.000374383,0.000374383
119,6212.88,1.26272,0.90573,1.30647,0.96499,0.82764,0.93173,0.57672,1.25627,0.97437,1.37586,0.000366899,0.000366899,0.000366899
120,6244.4,1.20286,0.86344,1.23392,0.89566,0.8784,0.93473,0.59298,1.25167,0.97918,1.37272,0.00035945,0.00035945,0.00035945
121,6276.05,1.23345,0.89285,1.26403,0.86327,0.86596,0.92012,0.59129,1.241,1.02024,1.35998,0.000352037,0.000352037,0.000352037
122,6307.48,1.23281,0.83788,1.2835,0.86262,0.87297,0.91797,0.57973,1.25918,1.02764,1.37079,0.000344661,0.000344661,0.000344661
123,6339.18,1.25459,0.90202,1.26197,0.87301,0.88726,0.91358,0.5706,1.27712,1.02118,1.38156,0.000337325,0.000337325,0.000337325
124,6370.73,1.27888,0.90804,1.25677,0.89843,0.88312,0.91821,0.57727,1.25823,1.01427,1.36823,0.00033003,0.00033003,0.00033003
125,6401.98,1.23174,0.88029,1.27044,0.89754,0.90154,0.93089,0.5966,1.21511,0.98595,1.33469,0.000322778,0.000322778,0.000322778
126,6433.5,1.24124,0.88548,1.26873,0.90196,0.90009,0.93143,0.60118,1.20621,0.9837,1.32989,0.000315572,0.000315572,0.000315572
127,6464.96,1.1991,0.86137,1.25136,0.8985,0.90232,0.91399,0.60907,1.20232,1.00081,1.33031,0.000308412,0.000308412,0.000308412
128,6496.25,1.2201,0.8608,1.24322,0.94738,0.87714,0.93961,0.60819,1.19881,1.00224,1.33429,0.0003013,0.0003013,0.0003013
129,6527.85,1.2085,0.8427,1.2546,0.94053,0.90154,0.94439,0.59041,1.23284,1.01679,1.35505,0.000294239,0.000294239,0.000294239
130,6559.29,1.2253,0.86021,1.24892,0.93965,0.90154,0.94433,0.59088,1.24669,1.00939,1.36217,0.00028723,0.00028723,0.00028723
131,6590.92,1.20125,0.84037,1.22962,0.93382,0.90154,0.93616,0.58764,1.21913,0.99469,1.35508,0.000280275,0.000280275,0.000280275
132,6622.47,1.21841,0.8226,1.22265,0.93531,0.90154,0.93917,0.57937,1.22278,0.97804,1.35684,0.000273375,0.000273375,0.000273375
133,6653.72,1.19403,0.85155,1.26036,0.9414,0.89179,0.93917,0.57695,1.24896,0.99694,1.3736,0.000266532,0.000266532,0.000266532
134,6685.43,1.27258,0.857,1.28288,0.9458,0.88134,0.93819,0.57087,1.25468,1.00572,1.37593,0.000259748,0.000259748,0.000259748
135,6716.67,1.16976,0.79756,1.2227,0.93509,0.87297,0.93883,0.57495,1.216,0.996,1.35832,0.000253024,0.000253024,0.000253024
136,6748.17,1.19223,0.81348,1.22612,0.93358,0.87297,0.94085,0.58643,1.19661,0.97846,1.34667,0.000246363,0.000246363,0.000246363
